α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
          3.8,    0.02566385,          4.2,    0.01606792,            5,    0.01332278,          4.2,    0.01118764,          4.2,     0.0101211,          4.4,   0.009506395,          3.6,   0.008555558,            4,   0.008528232,          3.8,   0.008237254,
            4,    0.02579386,          4.4,    0.01628298,          5.2,    0.01344131,          4.4,    0.01128103,          4.4,    0.01026242,          4.6,    0.00962581,          3.8,   0.008686395,          4.2,   0.008633227,            4,   0.008325548,
          4.2,    0.02652029,          4.6,    0.01641198,          5.4,    0.01358133,          4.6,     0.0113909,          4.6,     0.0103569,          4.8,   0.009791489,            4,   0.008763135,          4.4,   0.008783491,          4.2,   0.008450885,
          4.4,    0.02676719,          4.8,    0.01649292,          5.6,    0.01371208,          4.8,     0.0115393,          4.8,    0.01046599,            5,   0.009897619,          4.2,   0.008852427,          4.6,   0.008886708,          4.4,   0.008583354,
          4.6,    0.02694644,            5,    0.01669244,          5.8,    0.01387287,            5,     0.0116417,            5,    0.01061882,          5.2,    0.01007134,          4.4,   0.008978097,          4.8,   0.009018872,          4.6,    0.00868607,
          4.8,    0.02762902,          5.2,    0.01681281,            6,     0.0140302,          5.2,    0.01176657,          5.2,    0.01075627,          5.4,    0.01024443,          4.6,   0.009122553,            5,   0.009200123,          4.8,   0.008850608,
            5,    0.02768049,          5.4,    0.01687154,          6.2,    0.01423167,          5.4,    0.01194249,          5.4,    0.01091445,          5.6,    0.01048374,          4.8,   0.009229782,          5.2,   0.009368927,            5,    0.00900114,
          5.2,    0.02815426,          5.6,    0.01707083,          6.4,    0.01448197,          5.6,     0.0120749,          5.6,    0.01110551,          5.8,    0.01076252,            5,    0.00940448,          5.4,   0.009594046,          5.2,   0.009227098,
          5.4,    0.02844253,          5.8,    0.01715618,          6.6,    0.01479074,          5.8,    0.01228275,          5.8,    0.01135341,            6,    0.01110417,          5.2,   0.009562242,          5.6,   0.009876072,          5.4,   0.009445834,
          5.6,    0.02817309,            6,    0.01728267,          6.8,    0.01523254,            6,    0.01248527,            6,    0.01163418,          6.2,    0.01159414,          5.4,    0.00979738,          5.8,    0.01024379,          5.6,   0.009751419,
