α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
         12.4,      1.189693,         12.8,       1.24915,         13.8,      1.266764,         12.8,      1.305375,         12.8,      1.324589,         13.2,      1.341279,         12.2,      1.355672,         12.6,      1.363967,         12.4,      1.371068,
         12.6,      1.189436,           13,      1.248188,           14,      1.259585,           13,      1.304932,           13,      1.324019,         13.4,      1.339579,         12.4,      1.356363,         12.8,      1.363827,         12.6,      1.371385,
         12.8,      1.184215,         13.2,       1.24631,         14.2,      1.251526,         13.2,      1.303762,         13.2,      1.322978,         13.6,      1.337525,         12.6,       1.35664,           13,      1.363232,         12.8,      1.371309,
           13,      1.179558,         13.4,      1.243357,         14.4,      1.242346,         13.4,       1.30169,         13.4,      1.321037,         13.8,      1.334573,         12.8,      1.356464,         13.2,      1.362042,           13,       1.37071,
         13.2,      1.176547,         13.6,      1.237123,         14.6,      1.232275,         13.6,      1.298655,         13.6,      1.318374,           14,      1.331408,           13,      1.355896,         13.4,      1.360417,         13.2,      1.369657,
         13.4,      1.166192,         13.8,      1.229491,         14.8,      1.221582,         13.8,      1.294513,         13.8,      1.314626,         14.2,      1.327155,         13.2,      1.354763,         13.6,      1.358465,         13.4,      1.368471,
         13.6,      1.155069,           14,      1.220703,           15,       1.21022,           14,      1.289276,           14,      1.310004,         14.4,      1.322671,         13.4,      1.352987,         13.8,      1.355831,         13.6,      1.366802,
         13.8,      1.143269,         14.2,      1.210797,         15.2,      1.198345,         14.2,      1.283123,         14.2,      1.304357,         14.6,      1.316635,         13.6,      1.350782,           14,      1.353004,         13.8,      1.364705,
           14,       1.13109,         14.4,      1.200336,         15.4,      1.186167,         14.4,      1.275711,         14.4,      1.297821,         14.8,      1.310198,         13.8,      1.347651,         14.2,      1.349391,           14,      1.362205,
         14.2,      1.118827,         14.6,      1.189366,         15.6,      1.173837,         14.6,       1.26769,         14.6,      1.290319,           15,        1.3023,           14,      1.344353,         14.4,      1.345898,         14.2,      1.359011,
         14.4,       1.10696,         14.8,      1.177998,         15.8,      1.161417,         14.8,      1.258242,         14.8,      1.281948,         15.2,      1.294012,         14.2,      1.340021,         14.6,      1.341364,         14.4,      1.355649,
         14.8,      1.068478,           15,      1.166507,           16,      1.149027,           15,      1.248095,           15,      1.272912,         15.4,      1.284824,         14.4,      1.335806,         14.8,      1.337112,         14.6,      1.351125,
           15,      1.058674,         15.2,      1.154959,, ,          15.2,      1.237142,         15.2,      1.262921,         15.6,       1.27502,         14.6,      1.330484,           15,      1.331692,         14.8,      1.346118,
         15.6,      1.031959,         15.4,      1.143671,, ,          15.4,      1.225361,         15.4,      1.252496,         15.8,      1.264842,         14.8,      1.325558,         15.2,      1.326332,           15,      1.339662,
         15.8,      1.030762,         15.6,      1.132849,, ,          15.6,       1.21296,         15.6,      1.241561,           16,      1.254301,           15,      1.319254,         15.4,      1.319778,         15.2,       1.33174,
           16,       1.03072,         15.8,      1.098208,, ,          15.8,      1.200073,         15.8,      1.230158,, ,          15.2,      1.313141,         15.6,      1.313053,         15.4,      1.325216,
, ,            16,      1.076528,, ,            16,      1.186839,           16,      1.218427,, ,          15.4,      1.306008,         15.8,      1.305245,         15.6,      1.318278,
, , , , , , , , , , , ,          15.6,      1.298563,           16,      1.296754,         15.8,      1.310141,
, , , , , , , , , , , ,          15.8,      1.290882,, ,            16,       1.30148,
, , , , , , , , , , , ,            16,      1.282645,, , , , 

